Id;product_1;product_2;product_3;product_4;product_5;product_6;product_7;product_8;product_9;product_10;product_11;product_12;product_13;product_14;product_15;product_16;product_17;product_18;product_19;product_20
1700;honey;;;;;;;;;;;;;;;;;;;
1701;shrimp;whole wheat pasta;pepper;spaghetti;flax seed;black tea;oil;carrots;green tea;chocolate;french fries;escalope;salt;babies food;magazines;;;;;
1702;mineral water;;;;;;;;;;;;;;;;;;;
1703;pancakes;mint;;;;;;;;;;;;;;;;;;
1704;shrimp;spaghetti;vegetables mix;rice;cookies;hot dogs;;;;;;;;;;;;;;
1705;spaghetti;milk;frozen smoothie;green tea;;;;;;;;;;;;;;;;
1706;ground beef;vegetables mix;honey;tomato juice;;;;;;;;;;;;;;;;
1707;burgers;chocolate;tomatoes;whole wheat pasta;spaghetti;avocado;milk;salmon;vegetables mix;whole wheat rice;gums;ketchup;corn;french fries;cookies;sparkling water;;;;
1708;tomatoes;burger sauce;chocolate;green tea;;;;;;;;;;;;;;;;
1709;frozen vegetables;whole wheat pasta;milk;pancakes;whole wheat rice;french fries;light mayo;;;;;;;;;;;;;
1710;grated cheese;spaghetti;olive oil;;;;;;;;;;;;;;;;;
1711;mineral water;milk;chicken;oil;carrots;cereals;champagne;cottage cheese;pancakes;energy drink;white wine;;;;;;;;;
1712;barbecue sauce;french fries;frozen smoothie;;;;;;;;;;;;;;;;;
1713;shrimp;honey;ketchup;frozen smoothie;escalope;hot dogs;sparkling water;green tea;;;;;;;;;;;;
1714;mineral water;cooking oil;chocolate;;;;;;;;;;;;;;;;;
1715;ground beef;soup;avocado;olive oil;cake;chocolate bread;green tea;french fries;frozen smoothie;low fat yogurt;;;;;;;;;;
1716;shrimp;frozen vegetables;spaghetti;;;;;;;;;;;;;;;;;
1717;butter;;;;;;;;;;;;;;;;;;;
1718;french fries;;;;;;;;;;;;;;;;;;;
1719;frozen vegetables;escalope;;;;;;;;;;;;;;;;;;
1720;green tea;;;;;;;;;;;;;;;;;;;
1721;escalope;;;;;;;;;;;;;;;;;;;
1722;herb & pepper;parmesan cheese;frozen smoothie;;;;;;;;;;;;;;;;;
1723;tomatoes;chicken;;;;;;;;;;;;;;;;;;
1724;ground beef;pepper;spaghetti;milk;vegetables mix;burger sauce;green beans;french fries;hot dogs;fresh bread;;;;;;;;;;
1725;chocolate;herb & pepper;shrimp;mineral water;chicken;pancakes;eggs;cookies;fresh bread;green tea;;;;;;;;;;
1726;chocolate;;;;;;;;;;;;;;;;;;;
1727;light cream;;;;;;;;;;;;;;;;;;;
1728;tomatoes;pancakes;;;;;;;;;;;;;;;;;;
1729;mineral water;cake;frozen smoothie;cookies;yogurt cake;;;;;;;;;;;;;;;
1730;turkey;mineral water;chocolate;yogurt cake;light mayo;;;;;;;;;;;;;;;
1731;cookies;;;;;;;;;;;;;;;;;;;
1732;mineral water;chicken;oil;chocolate;frozen smoothie;mint;;;;;;;;;;;;;;
1733;cookies;;;;;;;;;;;;;;;;;;;
1734;meatballs;yogurt cake;;;;;;;;;;;;;;;;;;
1735;cooking oil;;;;;;;;;;;;;;;;;;;
1736;mineral water;;;;;;;;;;;;;;;;;;;
1737;cookies;pasta;;;;;;;;;;;;;;;;;;
1738;hot dogs;;;;;;;;;;;;;;;;;;;
1739;ground beef;pepper;olive oil;butter;green grapes;cooking oil;;;;;;;;;;;;;;
1740;burgers;shrimp;spaghetti;avocado;milk;olive oil;french wine;chutney;honey;gums;cereals;chocolate;melons;hand protein bar;zucchini;;;;;
1741;whole wheat rice;;;;;;;;;;;;;;;;;;;
1742;spaghetti;avocado;brownies;;;;;;;;;;;;;;;;;
1743;fresh tuna;spaghetti;mineral water;salmon;;;;;;;;;;;;;;;;
1744;pancakes;cereals;chocolate;;;;;;;;;;;;;;;;;
1745;burgers;tomatoes;pepper;corn;cereals;escalope;low fat yogurt;;;;;;;;;;;;;
1746;ground beef;milk;frozen smoothie;;;;;;;;;;;;;;;;;
1747;spaghetti;milk;;;;;;;;;;;;;;;;;;
1748;shrimp;mineral water;energy drink;salt;magazines;;;;;;;;;;;;;;;
1749;grated cheese;spinach;french fries;;;;;;;;;;;;;;;;;
1750;spaghetti;mineral water;milk;corn;;;;;;;;;;;;;;;;
1751;chocolate;grated cheese;herb & pepper;whole wheat pasta;almonds;oatmeal;green tea;;;;;;;;;;;;;
1752;tomatoes;cooking oil;;;;;;;;;;;;;;;;;;
1753;whole wheat pasta;strawberries;melons;low fat yogurt;;;;;;;;;;;;;;;;
1754;mineral water;energy drink;;;;;;;;;;;;;;;;;;
1755;chocolate;cookies;green tea;;;;;;;;;;;;;;;;;
1756;grated cheese;pepper;cake;bramble;chocolate;;;;;;;;;;;;;;;
1757;mineral water;french fries;;;;;;;;;;;;;;;;;;
1758;grated cheese;frozen vegetables;whole wheat pasta;mineral water;milk;honey;oil;;;;;;;;;;;;;
1759;cereals;pancakes;;;;;;;;;;;;;;;;;;
1760;pickles;shrimp;milk;cake;french fries;brownies;green tea;;;;;;;;;;;;;
1761;whole wheat rice;cooking oil;cottage cheese;zucchini;;;;;;;;;;;;;;;;
1762;whole wheat pasta;avocado;olive oil;chocolate;french fries;frozen smoothie;champagne;;;;;;;;;;;;;
1763;fresh tuna;mineral water;pancakes;cake;oil;extra dark chocolate;strawberries;gluten free bar;;;;;;;;;;;;
1764;cake;cookies;green tea;;;;;;;;;;;;;;;;;
1765;burgers;cake;;;;;;;;;;;;;;;;;;
1766;mineral water;milk;cider;gums;extra dark chocolate;french fries;body spray;pancakes;energy drink;;;;;;;;;;;
1767;escalope;;;;;;;;;;;;;;;;;;;
1768;mineral water;whole wheat rice;;;;;;;;;;;;;;;;;;
1769;burgers;ground beef;honey;blueberries;gums;french fries;fresh bread;;;;;;;;;;;;;
1770;french fries;pancakes;gluten free bar;;;;;;;;;;;;;;;;;
1771;fresh tuna;mineral water;avocado;fromage blanc;chocolate;french fries;frozen smoothie;pancakes;;;;;;;;;;;;
1772;escalope;cookies;;;;;;;;;;;;;;;;;;
1773;burgers;chocolate;spaghetti;mineral water;milk;chicken;whole wheat rice;french fries;;;;;;;;;;;;
1774;burgers;ground beef;spaghetti;avocado;milk;olive oil;almonds;pancakes;honey;cake;chocolate;frozen smoothie;sparkling water;;;;;;;
1775;burgers;eggs;champagne;;;;;;;;;;;;;;;;;
1776;grated cheese;;;;;;;;;;;;;;;;;;;
1777;ground beef;milk;energy bar;pancakes;honey;cereals;;;;;;;;;;;;;;
1778;shrimp;mineral water;extra dark chocolate;green tea;;;;;;;;;;;;;;;;
1779;spaghetti;;;;;;;;;;;;;;;;;;;
1780;mineral water;french fries;;;;;;;;;;;;;;;;;;
1781;milk;muffins;honey;whole weat flour;green tea;;;;;;;;;;;;;;;
1782;butter;bacon;eggs;carrots;french fries;tomato juice;green tea;;;;;;;;;;;;;
1783;shrimp;frozen vegetables;tomatoes;spaghetti;eggs;champagne;frozen smoothie;;;;;;;;;;;;;
1784;shrimp;tomatoes;mineral water;chocolate;;;;;;;;;;;;;;;;
1785;mineral water;meatballs;olive oil;muffins;whole wheat rice;yogurt cake;light mayo;salt;;;;;;;;;;;;
1786;cookies;;;;;;;;;;;;;;;;;;;
1787;eggs;chicken;whole weat flour;strawberries;low fat yogurt;;;;;;;;;;;;;;;
1788;burgers;eggs;french fries;;;;;;;;;;;;;;;;;
1789;nonfat milk;escalope;;;;;;;;;;;;;;;;;;
1790;spaghetti;mineral water;extra dark chocolate;green tea;zucchini;;;;;;;;;;;;;;;
1791;eggs;french fries;;;;;;;;;;;;;;;;;;
1792;frozen vegetables;spaghetti;mineral water;salmon;cake;body spray;;;;;;;;;;;;;;
1793;meatballs;french wine;;;;;;;;;;;;;;;;;;
1794;cake;french fries;;;;;;;;;;;;;;;;;;
1795;cider;frozen smoothie;;;;;;;;;;;;;;;;;;
1796;eggs;whole weat flour;eggplant;strawberries;low fat yogurt;;;;;;;;;;;;;;;
1797;turkey;pepper;light mayo;protein bar;;;;;;;;;;;;;;;;
1798;turkey;tomatoes;low fat yogurt;;;;;;;;;;;;;;;;;
1799;flax seed;cake;green tea;french fries;mushroom cream sauce;hot dogs;cottage cheese;brownies;;;;;;;;;;;;
1800;eggs;cookies;;;;;;;;;;;;;;;;;;
1801;turkey;mineral water;whole wheat rice;body spray;energy drink;green tea;;;;;;;;;;;;;;
1802;eggs;escalope;;;;;;;;;;;;;;;;;;
1803;eggs;honey;salt;green tea;;;;;;;;;;;;;;;;
1804;spaghetti;mineral water;french fries;pancakes;;;;;;;;;;;;;;;;
1805;green tea;;;;;;;;;;;;;;;;;;;
1806;tomatoes;spaghetti;mineral water;milk;energy bar;spinach;eggs;frozen smoothie;;;;;;;;;;;;
1807;shrimp;tomatoes;;;;;;;;;;;;;;;;;;
1808;light cream;chocolate;pancakes;yogurt cake;;;;;;;;;;;;;;;;
1809;turkey;eggs;;;;;;;;;;;;;;;;;;
1810;french fries;;;;;;;;;;;;;;;;;;;
1811;french fries;;;;;;;;;;;;;;;;;;;
1812;ground beef;;;;;;;;;;;;;;;;;;;
1813;grated cheese;mineral water;eggs;extra dark chocolate;yogurt cake;mayonnaise;low fat yogurt;;;;;;;;;;;;;
1814;salmon;eggs;cake;;;;;;;;;;;;;;;;;
1815;frozen vegetables;spaghetti;mineral water;vegetables mix;;;;;;;;;;;;;;;;
1816;shrimp;mineral water;olive oil;eggs;cake;;;;;;;;;;;;;;;
1817;turkey;herb & pepper;spaghetti;eggs;;;;;;;;;;;;;;;;
1818;spaghetti;mineral water;eggs;burger sauce;cooking oil;french fries;brownies;;;;;;;;;;;;;
1819;whole weat flour;cereals;honey;;;;;;;;;;;;;;;;;
1820;turkey;burgers;spaghetti;pancakes;ketchup;eggplant;french fries;cottage cheese;green tea;;;;;;;;;;;
1821;grated cheese;herb & pepper;spaghetti;french wine;chicken;eggs;whole wheat rice;fresh bread;;;;;;;;;;;;
1822;burgers;fresh tuna;pickles;vegetables mix;hot dogs;cottage cheese;brownies;green tea;;;;;;;;;;;;
1823;tomatoes;french fries;;;;;;;;;;;;;;;;;;
1824;escalope;cookies;;;;;;;;;;;;;;;;;;
1825;energy bar;;;;;;;;;;;;;;;;;;;
1826;dessert wine;mineral water;milk;;;;;;;;;;;;;;;;;
1827;turkey;pepper;black tea;honey;cake;bug spray;pancakes;low fat yogurt;green tea;;;;;;;;;;;
1828;whole wheat pasta;pepper;olive oil;whole wheat rice;rice;pasta;white wine;;;;;;;;;;;;;
1829;soup;french fries;;;;;;;;;;;;;;;;;;
1830;burgers;mineral water;escalope;;;;;;;;;;;;;;;;;
1831;pepper;mineral water;soup;milk;french wine;pancakes;chocolate;asparagus;;;;;;;;;;;;
1832;french fries;;;;;;;;;;;;;;;;;;;
1833;french fries;escalope;;;;;;;;;;;;;;;;;;
1834;chocolate;shrimp;milk;butter;black tea;eggs;cooking oil;barbecue sauce;green tea;cauliflower;toothpaste;;;;;;;;;
1835;chicken;;;;;;;;;;;;;;;;;;;
1836;chocolate;frozen smoothie;;;;;;;;;;;;;;;;;;
1837;pancakes;;;;;;;;;;;;;;;;;;;
1838;chicken;honey;whole weat flour;cereals;green tea;energy drink;;;;;;;;;;;;;;
1839;mineral water;french fries;cookies;shallot;low fat yogurt;;;;;;;;;;;;;;;
1840;mineral water;pancakes;eggs;whole wheat rice;yogurt cake;green tea;;;;;;;;;;;;;;
1841;frozen smoothie;;;;;;;;;;;;;;;;;;;
1842;pepper;cider;;;;;;;;;;;;;;;;;;
1843;frozen vegetables;spaghetti;milk;bacon;barbecue sauce;low fat yogurt;;;;;;;;;;;;;;
1844;frozen vegetables;parmesan cheese;spaghetti;escalope;sparkling water;;;;;;;;;;;;;;;
1845;cake;;;;;;;;;;;;;;;;;;;
1846;red wine;gums;pet food;;;;;;;;;;;;;;;;;
1847;turkey;;;;;;;;;;;;;;;;;;;
1848;frozen vegetables;spaghetti;mineral water;soup;green grapes;eggs;cooking oil;oatmeal;;;;;;;;;;;;
1849;chocolate;;;;;;;;;;;;;;;;;;;
1850;eggs;champagne;;;;;;;;;;;;;;;;;;
1851;frozen vegetables;spaghetti;;;;;;;;;;;;;;;;;;
1852;grated cheese;herb & pepper;ground beef;mineral water;rice;cooking oil;oatmeal;chocolate;;;;;;;;;;;;
1853;mineral water;;;;;;;;;;;;;;;;;;;
1854;red wine;eggs;;;;;;;;;;;;;;;;;;
1855;turkey;spinach;;;;;;;;;;;;;;;;;;
1856;burgers;herb & pepper;shrimp;whole weat flour;green tea;;;;;;;;;;;;;;;
1857;spaghetti;escalope;;;;;;;;;;;;;;;;;;
1858;fresh tuna;pepper;spaghetti;whole wheat rice;cooking oil;;;;;;;;;;;;;;;
1859;escalope;;;;;;;;;;;;;;;;;;;
1860;tomatoes;french fries;body spray;yogurt cake;;;;;;;;;;;;;;;;
1861;rice;burger sauce;french fries;frozen smoothie;sandwich;fresh bread;;;;;;;;;;;;;;
1862;tomatoes;soup;green grapes;whole weat flour;;;;;;;;;;;;;;;;
1863;grated cheese;avocado;french fries;green tea;;;;;;;;;;;;;;;;
1864;turkey;burgers;spaghetti;french wine;eggs;;;;;;;;;;;;;;;
1865;eggs;mashed potato;;;;;;;;;;;;;;;;;;
1866;burgers;ham;spaghetti;soup;almonds;pancakes;eggs;cake;cereals;chocolate;french fries;low fat yogurt;green tea;;;;;;;
1867;frozen vegetables;chicken;pancakes;;;;;;;;;;;;;;;;;
1868;chocolate;red wine;spaghetti;;;;;;;;;;;;;;;;;
1869;mineral water;milk;;;;;;;;;;;;;;;;;;
1870;fresh tuna;;;;;;;;;;;;;;;;;;;
1871;french fries;;;;;;;;;;;;;;;;;;;
1872;chocolate;red wine;spaghetti;;;;;;;;;;;;;;;;;
1873;cookies;;;;;;;;;;;;;;;;;;;
1874;tomatoes;cake;;;;;;;;;;;;;;;;;;
1875;frozen vegetables;tomatoes;mineral water;chicken;green grapes;eggs;chocolate;brownies;fresh bread;white wine;;;;;;;;;;
1876;pancakes;eggs;;;;;;;;;;;;;;;;;;
1877;ham;grated cheese;frozen vegetables;mineral water;soup;eggs;cereals;chocolate;french fries;;;;;;;;;;;
1878;shrimp;babies food;;;;;;;;;;;;;;;;;;
1879;burgers;shrimp;tomatoes;ground beef;tomato sauce;spaghetti;soup;milk;black tea;cereals;green tea;;;;;;;;;
1880;eggs;tea;;;;;;;;;;;;;;;;;;
1881;eggs;low fat yogurt;;;;;;;;;;;;;;;;;;
1882;ham;frozen vegetables;energy bar;whole weat flour;green tea;;;;;;;;;;;;;;;
1883;ground beef;tomato sauce;salmon;chocolate;green tea;;;;;;;;;;;;;;;
1884;frozen vegetables;soda;chocolate;;;;;;;;;;;;;;;;;
1885;shrimp;frozen vegetables;tomatoes;whole wheat pasta;chocolate;french fries;mushroom cream sauce;;;;;;;;;;;;;
1886;mineral water;energy bar;vegetables mix;green grapes;;;;;;;;;;;;;;;;
1887;cooking oil;fresh bread;;;;;;;;;;;;;;;;;;
1888;red wine;mineral water;muffins;pancakes;honey;cake;cooking oil;whole weat flour;french fries;frozen smoothie;mushroom cream sauce;hot dogs;sparkling water;green tea;;;;;;
1889;avocado;eggs;chocolate;energy drink;;;;;;;;;;;;;;;;
1890;herb & pepper;olive oil;fresh bread;;;;;;;;;;;;;;;;;
1891;spaghetti;energy bar;pancakes;whole wheat rice;cake;french fries;low fat yogurt;;;;;;;;;;;;;
1892;frozen vegetables;spaghetti;mineral water;barbecue sauce;chocolate;;;;;;;;;;;;;;;
1893;chocolate;herb & pepper;shrimp;frozen vegetables;tomatoes;ground beef;spaghetti;mineral water;eggs;;;;;;;;;;;
1894;whole wheat rice;frozen smoothie;low fat yogurt;green tea;;;;;;;;;;;;;;;;
1895;burgers;red wine;mineral water;cake;green tea;;;;;;;;;;;;;;;
1896;red wine;mineral water;soup;eggs;pet food;tomato juice;fresh bread;;;;;;;;;;;;;
1897;grated cheese;ground beef;pepper;spaghetti;milk;pancakes;;;;;;;;;;;;;;
1898;burgers;shrimp;frozen vegetables;tomatoes;light cream;extra dark chocolate;;;;;;;;;;;;;;
1899;french fries;;;;;;;;;;;;;;;;;;;
1900;whole weat flour;french fries;brownies;;;;;;;;;;;;;;;;;
1901;cake;mint green tea;;;;;;;;;;;;;;;;;;
1902;spaghetti;mineral water;cake;light cream;cooking oil;eggplant;cottage cheese;pancakes;;;;;;;;;;;;
1903;ground beef;mineral water;milk;oatmeal;chocolate;french fries;escalope;yogurt cake;tomato juice;;;;;;;;;;;
1904;olive oil;cake;eggplant;french fries;brownies;salt;fresh bread;;;;;;;;;;;;;
1905;mineral water;french wine;green tea;;;;;;;;;;;;;;;;;
1906;mineral water;olive oil;strong cheese;pancakes;clothes accessories;french fries;strawberries;;;;;;;;;;;;;
1907;spaghetti;olive oil;;;;;;;;;;;;;;;;;;
1908;grated cheese;ground beef;almonds;salmon;spinach;barbecue sauce;chocolate;frozen smoothie;fresh bread;green tea;;;;;;;;;;
1909;tomatoes;pepper;mineral water;;;;;;;;;;;;;;;;;
1910;escalope;;;;;;;;;;;;;;;;;;;
1911;spaghetti;;;;;;;;;;;;;;;;;;;
1912;mineral water;soup;milk;olive oil;green beans;french fries;green tea;;;;;;;;;;;;;
1913;cake;french fries;;;;;;;;;;;;;;;;;;
1914;burgers;whole wheat rice;ham;eggplant;;;;;;;;;;;;;;;;
1915;burgers;dessert wine;strong cheese;french fries;;;;;;;;;;;;;;;;
1916;hot dogs;;;;;;;;;;;;;;;;;;;
1917;avocado;;;;;;;;;;;;;;;;;;;
1918;grated cheese;red wine;tomato sauce;milk;french wine;whole wheat rice;whole weat flour;french fries;;;;;;;;;;;;
1919;turkey;burgers;frozen vegetables;mineral water;nonfat milk;champagne;strawberries;low fat yogurt;;;;;;;;;;;;
1920;chocolate;;;;;;;;;;;;;;;;;;;
1921;spaghetti;honey;cooking oil;cookies;mashed potato;;;;;;;;;;;;;;;
1922;dessert wine;eggs;french fries;;;;;;;;;;;;;;;;;
1923;turkey;burgers;french wine;french fries;green tea;;;;;;;;;;;;;;;
1924;mineral water;soup;meatballs;energy bar;cottage cheese;brownies;shampoo;;;;;;;;;;;;;
1925;turkey;chocolate;whole wheat rice;oil;;;;;;;;;;;;;;;;
1926;ground beef;chocolate;escalope;;;;;;;;;;;;;;;;;
1927;french fries;;;;;;;;;;;;;;;;;;;
1928;chocolate;milk;olive oil;;;;;;;;;;;;;;;;;
1929;cereals;chocolate;champagne;green tea;;;;;;;;;;;;;;;;
1930;strawberries;;;;;;;;;;;;;;;;;;;
1931;whole wheat pasta;ground beef;mineral water;olive oil;green tea;;;;;;;;;;;;;;;
1932;spaghetti;;;;;;;;;;;;;;;;;;;
1933;milk;eggs;;;;;;;;;;;;;;;;;;
1934;frozen vegetables;spaghetti;mineral water;frozen smoothie;cottage cheese;green tea;;;;;;;;;;;;;;
1935;mineral water;;;;;;;;;;;;;;;;;;;
1936;soup;cookies;brownies;light mayo;;;;;;;;;;;;;;;;
1937;mineral water;chocolate;french wine;champagne;;;;;;;;;;;;;;;;
1938;chocolate;;;;;;;;;;;;;;;;;;;
1939;french fries;pancakes;yogurt cake;;;;;;;;;;;;;;;;;
1940;burgers;fresh tuna;shrimp;spaghetti;chocolate;french wine;chutney;pancakes;eggs;whole wheat rice;cooking oil;french fries;light mayo;;;;;;;
1941;oil;frozen smoothie;;;;;;;;;;;;;;;;;;
1942;red wine;mineral water;olive oil;;;;;;;;;;;;;;;;;
1943;pepper;milk;salmon;;;;;;;;;;;;;;;;;
1944;grated cheese;cereals;;;;;;;;;;;;;;;;;;
1945;tomatoes;milk;almonds;salmon;pancakes;carrots;salad;fresh bread;;;;;;;;;;;;
1946;grated cheese;herb & pepper;ground beef;soup;almonds;french fries;cookies;;;;;;;;;;;;;
1947;shrimp;tomatoes;;;;;;;;;;;;;;;;;;
1948;milk;cake;;;;;;;;;;;;;;;;;;
1949;turkey;spaghetti;milk;energy bar;french wine;eggs;eggplant;french fries;cookies;green tea;;;;;;;;;;
1950;turkey;fresh tuna;tomatoes;pancakes;;;;;;;;;;;;;;;;
1951;whole wheat rice;;;;;;;;;;;;;;;;;;;
1952;ground beef;tomato sauce;spaghetti;milk;hot dogs;brownies;green tea;;;;;;;;;;;;;
1953;salt;fresh bread;;;;;;;;;;;;;;;;;;
1954;milk;green tea;;;;;;;;;;;;;;;;;;
1955;burgers;tomatoes;spaghetti;milk;barbecue sauce;frozen smoothie;green tea;;;;;;;;;;;;;
1956;chocolate bread;yogurt cake;;;;;;;;;;;;;;;;;;
1957;whole wheat rice;cake;rice;;;;;;;;;;;;;;;;;
1958;shrimp;frozen vegetables;mineral water;meatballs;energy bar;french fries;green tea;;;;;;;;;;;;;
1959;chicken;muffins;honey;yogurt cake;;;;;;;;;;;;;;;;
1960;energy bar;black tea;eggs;chicken;champagne;light mayo;;;;;;;;;;;;;;
1961;soup;olive oil;light mayo;zucchini;green tea;;;;;;;;;;;;;;;
1962;muffins;gluten free bar;;;;;;;;;;;;;;;;;;
1963;french wine;french fries;;;;;;;;;;;;;;;;;;
1964;protein bar;tomato juice;;;;;;;;;;;;;;;;;;
1965;chocolate;french fries;escalope;shampoo;;;;;;;;;;;;;;;;
1966;french fries;energy drink;;;;;;;;;;;;;;;;;;
1967;tomatoes;spaghetti;olive oil;oil;;;;;;;;;;;;;;;;
1968;mineral water;meatballs;milk;;;;;;;;;;;;;;;;;
1969;brownies;;;;;;;;;;;;;;;;;;;
1970;burgers;spaghetti;avocado;green beans;;;;;;;;;;;;;;;;
1971;energy bar;eggs;;;;;;;;;;;;;;;;;;
1972;muffins;green grapes;hot dogs;;;;;;;;;;;;;;;;;
1973;chocolate;almonds;champagne;frozen smoothie;;;;;;;;;;;;;;;;
1974;energy bar;brownies;;;;;;;;;;;;;;;;;;
1975;turkey;frozen vegetables;avocado;eggs;whole wheat rice;melons;zucchini;;;;;;;;;;;;;
1976;protein bar;;;;;;;;;;;;;;;;;;;
1977;burgers;shrimp;tomatoes;mineral water;soup;pancakes;cooking oil;low fat yogurt;;;;;;;;;;;;
1978;chocolate;spaghetti;mineral water;chicken;tomato juice;;;;;;;;;;;;;;;
1979;milk;escalope;shallot;strawberries;;;;;;;;;;;;;;;;
1980;mineral water;milk;oil;chocolate;escalope;hot dogs;yogurt cake;;;;;;;;;;;;;
1981;milk;chocolate;;;;;;;;;;;;;;;;;;
1982;olive oil;;;;;;;;;;;;;;;;;;;
1983;mineral water;milk;french wine;eggs;chocolate;;;;;;;;;;;;;;;
1984;mineral water;honey;;;;;;;;;;;;;;;;;;
1985;shrimp;light cream;rice;cooking oil;chicken;extra dark chocolate;french fries;;;;;;;;;;;;;
1986;grated cheese;spaghetti;mineral water;eggplant;green tea;energy drink;light mayo;;;;;;;;;;;;;
1987;energy bar;;;;;;;;;;;;;;;;;;;
1988;butter;tomato juice;magazines;low fat yogurt;;;;;;;;;;;;;;;;
1989;herb & pepper;mineral water;salmon;whole weat flour;light mayo;salt;shampoo;candy bars;;;;;;;;;;;;
1990;spaghetti;;;;;;;;;;;;;;;;;;;
1991;mineral water;milk;eggs;chocolate;;;;;;;;;;;;;;;;
1992;turkey;shrimp;frozen vegetables;spaghetti;mineral water;toothpaste;;;;;;;;;;;;;;
1993;milk;eggs;cake;french fries;;;;;;;;;;;;;;;;
1994;cookies;;;;;;;;;;;;;;;;;;;
1995;cookies;;;;;;;;;;;;;;;;;;;
1996;spaghetti;milk;olive oil;low fat yogurt;;;;;;;;;;;;;;;;
1997;turkey;burgers;spaghetti;whole wheat rice;light cream;chocolate;light mayo;;;;;;;;;;;;;
1998;cookies;;;;;;;;;;;;;;;;;;;
1999;grated cheese;tomato sauce;spaghetti;fromage blanc;body spray;;;;;;;;;;;;;;;
2000;pancakes;energy drink;;;;;;;;;;;;;;;;;;
2001;shrimp;frozen vegetables;frozen smoothie;;;;;;;;;;;;;;;;;
2002;cider;eggs;whole wheat rice;french fries;;;;;;;;;;;;;;;;
2003;mineral water;energy bar;chocolate;body spray;low fat yogurt;;;;;;;;;;;;;;;
2004;mineral water;cake;;;;;;;;;;;;;;;;;;
2005;mineral water;cake;;;;;;;;;;;;;;;;;;
2006;tomato juice;;;;;;;;;;;;;;;;;;;
2007;herb & pepper;shrimp;ground beef;mineral water;eggs;cake;green tea;melons;;;;;;;;;;;;
2008;ham;herb & pepper;ground beef;chocolate;light cream;frozen smoothie;champagne;fresh bread;;;;;;;;;;;;
2009;herb & pepper;spaghetti;mineral water;eggs;;;;;;;;;;;;;;;;
2010;tomatoes;mineral water;milk;;;;;;;;;;;;;;;;;
2011;spaghetti;eggs;;;;;;;;;;;;;;;;;;
2012;red wine;milk;eggs;chocolate bread;salt;white wine;;;;;;;;;;;;;;
2013;eggs;yogurt cake;;;;;;;;;;;;;;;;;;
2014;mint green tea;;;;;;;;;;;;;;;;;;;
2015;cookies;;;;;;;;;;;;;;;;;;;
2016;grated cheese;eggs;french fries;;;;;;;;;;;;;;;;;
2017;grated cheese;energy bar;light cream;cooking oil;escalope;;;;;;;;;;;;;;;
2018;frozen vegetables;whole wheat pasta;ground beef;mineral water;milk;chicken;eggs;chocolate;french fries;;;;;;;;;;;
2019;mineral water;cereals;chocolate;fresh bread;;;;;;;;;;;;;;;;
2020;energy bar;fromage blanc;;;;;;;;;;;;;;;;;;
2021;tomatoes;eggs;chicken;chocolate bread;low fat yogurt;;;;;;;;;;;;;;;
2022;tomatoes;ground beef;spaghetti;mineral water;milk;;;;;;;;;;;;;;;
2023;turkey;burgers;ham;tomatoes;milk;eggs;chocolate;french fries;low fat yogurt;;;;;;;;;;;
2024;burgers;tomatoes;chocolate;;;;;;;;;;;;;;;;;
2025;cottage cheese;;;;;;;;;;;;;;;;;;;
2026;chocolate;;;;;;;;;;;;;;;;;;;
2027;herb & pepper;ground beef;spaghetti;olive oil;;;;;;;;;;;;;;;;
2028;pancakes;salt;tomato juice;;;;;;;;;;;;;;;;;
2029;oil;cooking oil;chocolate;mushroom cream sauce;brownies;;;;;;;;;;;;;;;
2030;ham;frozen vegetables;tomatoes;spaghetti;chocolate;cake;;;;;;;;;;;;;;
2031;fromage blanc;eggs;french fries;;;;;;;;;;;;;;;;;
2032;burgers;grated cheese;cider;salmon;cake;;;;;;;;;;;;;;;
2033;shrimp;soup;;;;;;;;;;;;;;;;;;
2034;salmon;;;;;;;;;;;;;;;;;;;
2035;burgers;eggs;green tea;;;;;;;;;;;;;;;;;
2036;cake;toothpaste;;;;;;;;;;;;;;;;;;
2037;grated cheese;red wine;;;;;;;;;;;;;;;;;;
2038;whole wheat pasta;spaghetti;mineral water;olive oil;;;;;;;;;;;;;;;;
2039;mineral water;milk;olive oil;chicken;;;;;;;;;;;;;;;;
2040;fresh tuna;eggs;;;;;;;;;;;;;;;;;;
2041;yams;fromage blanc;salmon;chocolate;frozen smoothie;light mayo;;;;;;;;;;;;;;
2042;yams;;;;;;;;;;;;;;;;;;;
2043;eggs;cookies;;;;;;;;;;;;;;;;;;
2044;mineral water;meatballs;pancakes;;;;;;;;;;;;;;;;;
2045;mineral water;;;;;;;;;;;;;;;;;;;
2046;burgers;grated cheese;whole wheat pasta;spaghetti;mineral water;eggs;whole wheat rice;blueberries;cooking oil;whole weat flour;hand protein bar;;;;;;;;;
2047;honey;light cream;oil;chicken;green tea;chocolate;hot dogs;;;;;;;;;;;;;
2048;eggs;chocolate;;;;;;;;;;;;;;;;;;
2049;chocolate;;;;;;;;;;;;;;;;;;;
2050;spaghetti;french fries;escalope;green tea;;;;;;;;;;;;;;;;
2051;turkey;eggs;fresh bread;;;;;;;;;;;;;;;;;
2052;turkey;eggs;bug spray;cookies;low fat yogurt;;;;;;;;;;;;;;;
2053;turkey;chocolate;eggs;gums;champagne;green tea;;;;;;;;;;;;;;
